ClubID,Club Name,Description,Training_Dates,Training Locations,Club_Category
,Japanese Club,"Konnichiwa! Welcome to the Japanese Club, where the beauty of Japan's rich culture, language, and traditions come to life. Whether you're a dedicated Japanophile or just curious about this fascinating country, you've found a home here.",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,Motorcycle Club,"Let's hit the road, create memories, and experience the freedom of the ride together!",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,Public Speaking,"Unleash the power of your voice and conquer the art of effective communication with the Public Speaking Club. Whether you're an experienced or aspiring speaker, we're here to help you refine your skills and find your voice.",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,Reading,"Open the door to new worlds, ideas, and endless adventures with the Reading Club. If you have a love for literature, an appetite for knowledge, or a passion for storytelling, you've found your haven among fellow bookworms.",Every First Friday of the month from 6pm to 8pm,Our meeting facility is located at SIT Dover,Special Interest
,Scuba Diving,"Dive into a world of wonder beneath the waves with the Scuba Diving Club. Whether you're an experienced diver or a complete novice eager to explore the depths of the ocean, we're your gateway to underwater adventure and marine discovery.",Event Days,Our meeting facility is located at SIT SP,Special Interest
,Sign Language,"“Speak with your ✋🏻, Listen with your 👀”",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,SITourism,"SITourism aims to connect, expose and involve aspiring students for their future.",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,Social Entrepreneur Club,The go-to resource for SIT students to learn more about entrpreneurship and social impact.,Event Days,Our meeting facility is located at SIT Dover,Special Interest
,WAU! Malay Cultural Society,"Selamat datang (Welcome) to the WAU! Malay Cultural Society, where the rich tapestry of Malay culture, traditions, and heritage comes alive. Join us on a captivating journey through the heart of Malaysia and the Malay world.",Event Days,Our meeting facility is located at SIT Dover,Special Interest
,Whiskurs,An animal welfare and awareness initiative,Event Days,Our meeting facility is located at SIT Dover,Special Interest
,ISACA Student Chapter,A student group of Singapore Institute of Technology (SIT) with ISACA Singapore.,Event Days,Our meeting facility is located at SIT Dover,Student Chapter
,IES-SIT Student Chapter,The principal objective of Student Chapters is to enhance the student’s professional development in the degree programme that they are pursuing and build a network with industry professionals.,Event Days,Our meeting facility is located at SIT Dover,Student Chapter
,SIT-UofG IMechE Student Chapter,"Improving the world through Engineering  🌏⚙️
Stay tuned for updates of future IMechE events!",Event Days,Our meeting facility is located at SIT NP,Student Chapter
,N0H4Ts Chapter,A legion of InfoSec enthusiasts dedicated to empower youths to take up arms against emerging cyber threats!,Event Days,Our meeting facility is located at SIT NYP,Student Chapter
,PCMA Student Chapter,SIT Student Chapter of Professional Convention Management Association (PCMA),Event Days,Our meeting facility is located at SIT Dover,Student Chapter
,Society Of Women Engineers,✨Our aim is to empower women to achieve their fullest potential in STEM while demonstrating diversity & inclusion,Event Days,Our meeting facility is located at SIT Dover,Student Chapter
,Accountancy SMC,Accountancy Student Management Committee,Event Days,Our meeting facility is located at SIT RP,Student Management Comittee
,Air Transport Management SMC,Air Transport Management Student Management Committee,Event Days,Our meeting facility is located at SIT RP,Student Management Comittee
,CIA CHEF SG,Culinary Institute of America Student Management Committee,Event Days,Our meeting facility is located at SIT TP,Student Management Comittee
,DCIM SMC,Digital Communications and Integrated Media Student Management Committee,Event Days,Our meeting facility is located at SIT RP,Student Management Comittee
,HB SMC,Hospitality Business Student Management Committee,Event Days,Our meeting facility is located at SIT RP,Student Management Comittee
,AE SMC,Aerospace Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT NP,Student Management Comittee
,ASE SMC,Aircraft Systems Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,ME SMC,Mechanical Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT NP,Student Management Comittee
,UofG CVE SM,Civil Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT NP,Student Management Comittee
,TUM EDE SMC,Electronics and Data Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT SP,Student Management Comittee
,EPE SMC,Electrical Power Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,NAME SMC,Naval Architecture and Marine Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,MDME SMC,Mechanical Design & Manufacturing Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,RSE SMC,Robotics Systems Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,SIE SMC,"BEng (Hons) SIE (Land), SIE (Building Services), ESE, and SBE Student Management Committee",Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,METS SMC,Mechatronics Systems Student Management Committee,Event Days,Our meeting facility is located at SIT SP,Student Management Comittee
,CE SMC,Chemical Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,FT SMC,Food Technology Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,PE SM,Pharmaceutical Engineering Student Management Committee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,DRRT SMC,Diagnostic Radiography / Radiation Therapy Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,Nursing SMC,Nursing Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,OT SMC,Occupational Therapy Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,SLT SMC,Speech & Language Therapy Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,Physiotherapy SMC,Physiotherapy Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,DTN SMC,Dietetics & Nutrition Student Management Commitee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,CS SMC,Computing Science Student Management Committee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,DP SMC,DigiPen Student Management Committee,Event Days,Our meeting facility is located at SIT SP,Student Management Comittee
,ICT SMC,Information and Communications Technology Student Management Committee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,CompEng SMC,Computer Engineering Student Management Comittee,Event Days,Our meeting facility is located at SIT Dover,Student Management Comittee
,DSC SMC,Digital Supply Chain Student Management Comittee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,AAI SMC,Applied Artificial Intelligence Student Management Comittee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
,AC SMC,Applied Computing  Student Management Comittee,Event Days,Our meeting facility is located at SIT NYP,Student Management Comittee
